#OTUID	domain	phylum	class	order	family	genus	species
c74d35913b181acf091ae9cad3ab413f	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_Incertae_Sedis	Unknown_Family	Acuticoccus	
f679c6e048ef8eb50ed780b65cfc1d71	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	
2420f2aeb58c00c663e12a47fe8704c1	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	
61e0b1f9f194ca5a0012af39b51d34c0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured	
68ed48af033b03771a28ecb1e1404a73	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
d4ac28381f2fcc118656306522ad8693	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	
03cd332c0cba59eb40ec2996ace30232	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	
c12fc6fb3b970be780c517bb03c05fe8	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	
b3a76b6f6ce113388f85a3e7a61f54e7	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	
e4de2775c004cd424f78d95800e64c70	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	
bf009ae344faac888e16d131641cb55d	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	uncultured	
f3ab46eb643f9fd49253881533af6c9c	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	
bc3676c17839094c4fa8e33268905268	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrocosmicus	
523a2692525a238ae41b0bfa6f041a72	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	
